股票,進場日,出場日,進場價,出場價,報酬率,持有週數
2330,2016-03-18,2018-06-29,159.5,216.5,35.74,119
2330,2018-08-31,2019-01-04,256.0,208.0,-18.75,18
2303,2017-06-30,2018-10-12,14.75,13.65,-7.46,67
0050,2016-07-22,2018-10-12,69.3,80.05,15.51,116
0050,2019-10-04,2020-03-13,85.15,81.0,-4.87,23
2603,2017-02-24,2018-04-27,14.55,14.3,-1.72,61
2603,2019-08-02,2020-01-31,13.4,11.75,-12.31,26
2317,2017-02-17,2018-02-09,90.0,87.5,-2.78,51
2317,2019-04-19,2020-03-13,88.9,74.6,-16.09,47
2882,2016-11-25,2018-09-14,48.45,51.2,5.68,94
2412,2016-01-15,2016-12-16,101.0,103.0,1.98,48
2412,2018-03-23,2020-03-13,110.0,106.0,-3.64,103
1301,2016-04-15,2018-12-28,82.0,101.0,23.17,141
2002,2016-11-11,2018-02-09,24.5,23.75,-3.06,65
2002,2018-08-24,2019-08-09,25.25,23.4,-7.33,50
1101,2016-11-11,2017-06-16,37.5,33.85,-9.73,31
1101,2018-04-13,2018-10-26,38.2,33.5,-12.3,28
1101,2019-06-28,2020-03-20,46.05,36.95,-19.76,38
